date,location,new_cases,total_cases,new_deaths,total_deaths,new_recoveries,total_recoveries,active_cases
2023-01-01,USA,2875,2875,29,29,0.0,0.0,2846.0
2023-01-02,USA,2368,5243,27,56,0.0,0.0,5187.0
2023-01-03,USA,3062,8305,47,103,0.0,0.0,8202.0
2023-01-04,USA,2227,10532,22,125,0.0,0.0,10407.0
2023-01-05,USA,2476,13008,43,168,0.0,0.0,12840.0
2023-01-06,USA,3200,16208,49,217,0.0,0.0,15991.0
2023-01-07,USA,3489,19697,43,260,0.0,0.0,19437.0
2023-01-08,USA,2324,22021,56,316,0.0,0.0,21705.0
2023-01-09,USA,3546,25567,51,367,0.0,0.0,25200.0
2023-01-10,USA,3299,28866,59,426,0.0,0.0,28440.0
2023-01-11,USA,3473,32339,62,488,0.0,0.0,31851.0
2023-01-12,USA,3477,35816,36,524,0.0,0.0,35292.0
2023-01-13,USA,3557,39373,44,568,0.0,0.0,38805.0
2023-01-14,USA,4517,43890,60,628,0.0,0.0,43262.0
2023-01-15,USA,3294,47184,59,687,2065.0,2065.0,44432.0
2023-01-16,USA,3168,50352,54,741,2034.0,4099.0,45512.0
2023-01-17,USA,3780,54132,50,791,2227.0,6326.0,47015.0
2023-01-18,USA,4447,58579,52,843,1619.0,7945.0,49791.0
2023-01-19,USA,3140,61719,41,884,2127.0,10072.0,50763.0
2023-01-20,USA,3159,64878,54,938,2413.0,12485.0,51455.0
2023-01-21,USA,3010,67888,43,981,2646.0,15131.0,51776.0
2023-01-22,USA,2433,70321,54,1035,1839.0,16970.0,52316.0
2023-01-23,USA,2845,73166,33,1068,2549.0,19519.0,52579.0
2023-01-24,USA,3774,76940,45,1113,2955.0,22474.0,53353.0
2023-01-25,USA,2893,79833,43,1156,2628.0,25102.0,53575.0
2023-01-26,USA,2528,82361,42,1198,3077.0,28179.0,52984.0
2023-01-27,USA,2237,84598,38,1236,3197.0,31376.0,51986.0
2023-01-28,USA,2931,87529,42,1278,4053.0,35429.0,50822.0
